,store,MAE,MAPE
0,1,273.30949773015215,0.06222379791484335
1,2,323.64620064400316,0.06975512568695216
2,3,524.323182801943,0.07496449532755577
3,4,1004.4010504645239,0.09626800079991052
4,5,333.660911766258,0.0777197795765419
5,6,321.0723580025344,0.0721959147622721
6,7,726.4996700802349,0.07076675868391714
7,8,613.8080592799814,0.09600168809199161
8,9,683.8718327702694,0.09344889616293602
9,10,560.970584353884,0.09289142572945468
10,11,585.5995038006756,0.07490241736432525
11,12,656.5874023437494,0.08454534679820924
12,13,832.6846890836143,0.14947288752416624
13,14,338.4579352301522,0.06445656959730024
14,15,437.9095755912164,0.06275531443532283
15,16,623.6059438344597,0.07765995883891225
16,17,408.47495249155526,0.06763358477680481
17,18,381.02063978040576,0.055993293453782386
18,19,471.52156355574334,0.07475854652784121
19,20,792.9616501266876,0.0868962268716109
20,21,431.6324099978882,0.07296956709580633
21,22,518.1957809860639,0.10283519098228881
22,23,370.9403241131754,0.07014596610010684
23,24,717.8779560810797,0.07801576096013671
24,25,779.8163270692579,0.0749616556521854
25,26,527.7962415540535,0.07725448928573031
26,27,867.62247941301,0.0992619449312254
27,28,311.5073308171447,0.07474715001397776
28,29,672.0391284839523,0.09082539438963617
29,30,434.0922785578543,0.11597952551246868
30,31,395.6589685388508,0.06843274905568204
31,32,359.32101192989825,0.08082701938007977
32,33,672.182472022803,0.08351324292931142
33,34,681.2095782305712,0.0779816451446274
34,35,1109.2158599028728,0.10305152181382769
35,36,1103.945668813342,0.10719541728682117
36,37,681.0395111908767,0.10009357868397077
37,38,447.19351113808966,0.07212447727471205
38,39,410.7640941722976,0.08977558527249091
39,40,360.840985272382,0.08590923029933288
40,41,555.4351641680753,0.1016650964457485
41,42,890.4747677364849,0.08798144815516298
42,43,442.2788481841225,0.07323402548831212
43,44,344.54011824324317,0.07479636856460856
44,45,454.40803156672257,0.08223601788359339
45,46,655.2109968855576,0.1261656140941702
46,47,572.673247466217,0.07737968080921226
47,48,237.5574852195951,0.07228600056004793
48,49,553.167797191722,0.07116100263746222
49,50,383.8682234480564,0.08649432062469917
50,51,535.0853700380063,0.07466129234293412
51,52,495.11644847972946,0.075167832048368
52,53,415.30068887246597,0.07937778726832598
53,54,490.53407411317517,0.06483503551836053
54,55,469.25587257178995,0.0981536864872847
55,56,659.9396774704375,0.07989739760601272
56,57,925.3842509501693,0.10562281308615386
